test_mAP,task_trained,task_evaluating,data_cnt
0.41234075820240607,1,1,37041
0.4684063009652631,1,2,37041
0.38223094135761493,1,3,37041
0.3496944274601031,1,4,37041
0.20448228967288348,1,5,37041
0.42767911788050267,2,1,62474
0.5129818846995805,2,2,62474
0.4385682509672476,2,3,62474
0.385580148337532,2,4,62474
0.23073904745840038,2,5,62474
0.3965258730052184,3,1,76070
0.48847185101446894,3,2,76070
0.41985393823979983,3,3,76070
0.39203244600969495,3,4,76070
0.22194907336353778,3,5,76070
