test_mAP,task_trained,task_evaluating,data_cnt
0.004746339639563645,1,1,50
0.004030635095940702,1,2,50
0.004097948272371228,1,3,50
0.0037746427109635965,1,4,50
0.0006506643151301172,1,5,50
0.011716936531801447,2,1,100
0.02803996468288184,2,2,100
0.018974344884590204,2,3,100
0.01608175252963743,2,4,100
0.005279410372256107,2,5,100
0.047113761342431656,3,1,150
0.05928767734451484,3,2,150
0.06090594145057727,3,3,150
0.04550374587465223,3,4,150
0.029248395267499193,3,5,150
0.06364761591064963,4,1,200
0.07373335774829655,4,2,200
0.0795073091657311,4,3,200
0.06440188497113793,4,4,200
0.060516860944561,4,5,200
0.06706429716738024,5,1,250
0.08339060784813875,5,2,250
0.09537591563114818,5,3,250
0.06296054777422547,5,4,250
0.07359043018127036,5,5,250
