test_mAP,task_trained,task_evaluating,data_cnt
0.38323538444258165,1,1,37041
0.43078914373186106,1,2,37041
0.35387061356709437,1,3,37041
0.32658530692768334,1,4,37041
0.16659225288893087,1,5,37041
0.40056305189631985,2,1,62474
0.469663085758177,2,2,62474
0.4128477201572015,2,3,62474
0.3818805079526139,2,4,62474
0.23516613207270093,2,5,62474
0.38808238217122293,3,1,76070
0.4658661385873372,3,2,76070
0.39662469248488924,3,3,76070
0.3679744656643943,3,4,76070
0.23000073365730261,3,5,76070
