test_mAP,task_trained,task_evaluating,data_cnt
0.21346848149506983,3,3,13596
0.22861848449173588,3,1,13596
0.21404375853744115,3,4,13596
0.2737508375475635,3,2,13596
0.10986862595284837,3,5,13596
0.30160863586021736,1,3,50637
0.3103752465260296,1,1,50637
0.28229407705160087,1,4,50637
0.3814768758973442,1,2,50637
0.1269486576309659,1,5,50637
0.32097529715914136,4,3,89653
0.3164965546477596,4,1,89653
0.33062382210485575,4,4,89653
0.4188054192855751,4,2,89653
0.13672930171950248,4,5,89653
0.3338677520188683,2,3,115086
0.3163450489683765,2,1,115086
0.29676435357404,2,4,115086
0.3723665322422223,2,2,115086
0.19052180233775948,2,5,115086
0.2031619590759218,5,3,141052
0.17374705244893154,5,1,141052
0.20340366051135297,5,4,141052
0.2546325957851258,5,2,141052
0.29888917282776606,5,5,141052
